1. Кто основал Python?, a)Тим Кук, b)Гвидо ван Россум, c)Расл Шмит, b)Гвидо ван Россум
2. Что такое while?, a)Цикл, b)Обьект, c)Функция, a)Цикл 
3. Каким языком является Python, a)Конпилируемый, b)Интерпритируемый, c)Низкоуровневый, b)Интерпритируемый
4. Когда вышла первая версия Python?, a)1999, b)2000, c)2008, c)2008
5. Для чего нужны циклы?, a)Для прикола, b)Чтобы писать один раз и выполнять сколько угодно, c)Для создания функций, b)Чтобы писать один раз и выполнять сколько угодно
6. Какой будет индекс первого элемента в любом списке?, a) 0, b) 1, c) 2, a) 0
7. Какой модуль используется для работы с csv файлами?, a) random, b) os, c) csv, c) csv
8. Переменная float:, a)вещественная переменная, b)целая переменная, c)логическая пременная, b)вещественная переменная
9. Что используется для контроля версий?, a)kit, b)git, c)bukkit, b)git
10. Как сортировать список?, a)sort, b)for, c)while, a)sort
11. Какая библиотека отвечает за время?, a)Time, b)time, c)clock, b)time
12. Какое количество библиотек можно импортировать в один проект?, a)не более 3, b)не более 5, c)Неограниченое количество, c)Неограниченое количество
13. Где правильно создана переменая?, a)varnum = 2, b)num = 2;, c)num = float(2), c)num = float(2)
14. Какая функция выводит что-либо?, a)log(), b)out(), c)print(), c)print()
15. Как получить данные от пользователя?, a)input(), b)get(), c)cin(), a)input()
16. Чуствителен ли Python к регистру(большая или маленькая буква), a)Да, b)Нет, c)Без разницы, a)Да
17. Переменная str?, a)Символьная строка, b)Вещественная строка, c)Целая, a)Символьная строка
18. Переменная int?, a)Логическая, b)Целая, c)Вещественная, b)Целая
19. Область применения Python?, a)Интернет, b)Обучение, c)Робототехника и искусственный интеллект, c)Робототехника и искусственный интеллект
20. Каков будет результат выполнения int("88"), a)"88", b)88, c)88.00, b)88